@ HyperIMU -ianovir - 2018
@ Date:Tue Dec 10 13:37:45 GMT+05:30 2019, Sampling Rate:100ms

ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt,NMEA.a,NMEA.b,NMEA.c
0.054,-0.055,9.707,-0.13861,-0.126129,9.804855,28.71843666666667,77.133715,81.7,$GNACCURACY.6.4*14,$PMTKAGC.080752.000.4183.4334.6144.6117.0.0.0*69, 
-0.416,-0.212,9.707,-0.137649,-0.121749,9.804916,28.71843666666667,77.133715,81.7, , , 
-0.102,-0.134,9.785,-0.145858,-0.117538,9.804855,28.71843666666667,77.133715,81.7, , , 
-0.259,-0.134,9.864,-0.151519,-0.111709,9.80484,28.71843666666667,77.13369666666668,83.9,$GPGSA.A.3.31.26.16.14.23........1.27.0.92.0.87*07,$GLGSA.A.3.71.74...........1.27.0.92.0.87*1B,$BDGSA.A.3.23.13.16.07.10.02.......1.27.0.92.0.87*13
-0.024,-0.055,9.785,-0.124649,-0.105697,9.805283,28.71843666666667,77.13369666666668,83.9,$GAGSA.A.3.24............1.27.0.92.0.87*15,$GPGSV.4.1.15.31.64.029.21.4.41.55.167.34.0.22.50.316..14.47.040.13.6*6F,$GPGSV.4.2.15.26.40.145.35.5.01.36.265..194.35.062..03.28.320.*55
-0.024,-0.055,9.785,-0.10028,-0.103195,9.805588,28.71843666666667,77.13369666666668,83.9,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.23.3.10.15.136.*5D,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.6*50,$GLGSV.3.1.9.73.72.065..71.55.025.16.5.70.32.097..72.25.327.*4D
0.054,-0.134,9.707,-0.098098,-0.10379,9.805603,28.71843666666667,77.13369666666668,83.9,$GLGSV.3.2.9.74.13.200.20.2.80.13.029..87.08.297..86.07.243.*46,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.18.2.09.55.034..02.55.166.24.0.05.50.215.*6A
-0.024,-0.134,9.629,-0.061965,-0.105789,9.805878,28.71843666666667,77.13369666666668,83.9,$BDGSV.4.2.13.07.49.105.25.9.10.46.149.22.9.03.40.127..16.40.062.19.7*7F,$BDGSV.4.3.13.06.37.066..20.24.317..25.17.041..01.15.104.*6A,$BDGSV.4.4.13.13.12.181.19.4*41
-0.573,-0.134,9.864,-0.022293,-0.10707,9.80603,28.71843666666667,77.13369666666668,83.9,$GAGSV.1.1.4.24.59.094.22.0.09.36.083.11.9.03.24.306..15.12.300.*51,$GNRMC.080753.000.A.2843.1062.N.07708.0218.E.3.249.42.13.101219...A*70,$GNVTG.42.13.T..M.3.249.N.6.020.K.A*1F
-0.259,-0.134,9.785,-0.031341,-0.10733,9.806,28.71843666666667,77.13369666666668,83.9,$PMTKTSX1.32386.-4000.079.36.485.36.288.5fa80000.-0.388238.-0.400008.2.289233.-0.210381.1.460387.-0.417*75,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
0.132,-0.134,9.707,-0.051635,-0.108093,9.805908,28.71843666666667,77.13369666666668,83.9,$GNACCURACY.6.3*13,$PMTKAGC.080753.000.4598.4861.6785.6783.0.0.0*6D, 
-0.18,-0.212,9.785,-0.046691,-0.109802,9.805923,28.71843666666667,77.13369666666668,83.9, , , 
